gene_symbol,logfc,pval,pval_adj,scores,ensembl_id
GPM6B,,1.1471123717910107e-111,1.9889836038882992e-109,22.454863,ENSG00000046653
ENSG00000242593,,3.664286360374504e-111,6.323412083125898e-109,22.403185,ENSG00000242593
ADSS2,,3.87539474877883e-111,6.656173282666734e-109,22.400688,ENSG00000035687
ATXN1,,2.254080912928719e-110,3.853314281763405e-108,22.322107,ENSG00000124788
BCL2,,2.213373380350852e-109,3.7660444638007114e-107,22.219742,ENSG00000171791
KIAA1958,,2.643869552625379e-109,4.456878618064597e-107,22.211758,ENSG00000165185
TLE4,,2.863871527169445e-108,4.805497237202481e-106,22.104452,ENSG00000106829
DNAJB6,,4.948167056289264e-107,8.152608997900664e-105,21.975431,ENSG00000105993
MAML2,,7.795856166190636e-107,1.2786608771321325e-104,21.954779,ENSG00000184384
ADAM10,,2.953456112880965e-106,4.800948392063469e-104,21.894152,ENSG00000137845
ST18,,2.5513452066433073e-105,4.128870296190938e-103,21.795652,ENSG00000147488
ANKRD12,,6.5636373165686205e-105,1.052842123219809e-102,21.752346,ENSG00000101745
PGBD5,,3.957763986360701e-102,6.293017566435189e-100,21.456656,ENSG00000177614
NDUFAF6,,4.552694091364781e-102,7.207508576294539e-100,21.450142,ENSG00000156170
STARD13,,2.3890670358570735e-101,3.733506820155698e-99,21.372885,ENSG00000133121
DIP2C,,4.979572161569225e-101,7.682889048604179e-99,21.33857,ENSG00000151240
OSBP2,,2.19860139864519e-100,3.363675383507086e-98,21.269012,ENSG00000184792
FBXL7,,8.543576389892422e-100,1.3016263745136522e-97,21.205238,ENSG00000183580
EIF4G3,,1.322917357167267e-99,2.0070861170489388e-97,21.184654,ENSG00000075151
GNAQ,,2.697842319375492e-99,4.076092719215785e-97,21.151064,ENSG00000156052
CTBP2,,3.995201883787484e-99,6.011293016217763e-97,21.132534,ENSG00000175029
ZNF704,,1.55091408410439e-98,2.3239458284118954e-96,21.068398,ENSG00000164684
TNRC6B,,1.5833783665807478e-96,2.324756979191056e-94,20.848179,ENSG00000100354
FANCC,,4.604778087028713e-95,6.6800470001948e-93,20.686272,ENSG00000158169
SH3KBP1,,3.1056657944136214e-94,4.434647172791717e-92,20.594011,ENSG00000147010
TFEB,,4.736272237888179e-94,6.710394736419626e-92,20.573555,ENSG00000112561
FOXN2,,3.8038929649306313e-91,5.347774155948037e-89,20.24663,ENSG00000170802
HTRA1,,7.734738464507367e-91,1.0790701033319626e-88,20.211632,ENSG00000166033
CPEB3,,1.689375430854316e-90,2.3389178018352604e-88,20.173037,ENSG00000107864
GIPR,,2.755634259069638e-90,3.800687675804684e-88,20.148827,ENSG00000010310
SH3TC2,,4.2066199961098695e-89,5.780054615032172e-87,20.013432,ENSG00000169247
ENSG00000273748,,1.3342360424636097e-88,1.8127687603800357e-86,19.955818,ENSG00000273748
CA2,,2.5988382522171016e-88,3.51780291597506e-86,19.922464,ENSG00000104267
MYO1D,,4.907519094821053e-88,6.618243899282377e-86,19.89061,ENSG00000176658
RFX3,,3.1498821495747115e-87,4.2166731187615587e-85,19.797155,ENSG00000080298
MAP2K4,,3.33260221185749e-87,4.444934495903111e-85,19.794313,ENSG00000065559
STAG1,,1.9032226233818553e-86,2.5200051695483677e-84,19.706318,ENSG00000118007
CORO2B,,2.2111634095167565e-86,2.917133408236382e-84,19.698725,ENSG00000103647
UBE4B,,2.8442227325861316e-86,3.725317918666411e-84,19.685972,ENSG00000130939
ENSG00000250075,,4.523257920244261e-86,5.903256895768245e-84,19.662453,ENSG00000250075
SPRED1,,1.0232240757035877e-85,1.3258944855700724e-83,19.620998,ENSG00000166068
PIK3R1,,1.3583828384080026e-85,1.7539516280890848e-83,19.60659,ENSG00000145675
ARAP2,,3.4305186769497295e-85,4.3983114811652655e-83,19.559406,ENSG00000047365
JADE2,,1.5208906375732044e-84,1.9363171292068364e-82,19.48332,ENSG00000043143
RUFY3,,1.99998001137211e-84,2.537396242999347e-82,19.469297,ENSG00000018189
NEO1,,3.723481556626121e-84,4.7076184180510536e-82,19.437431,ENSG00000067141
ATOSA,,1.0323291957069128e-83,1.2961782991062108e-81,19.385036,ENSG00000047346
GDAP1,,1.2495781085819651e-83,1.5635614463809798e-81,19.375208,ENSG00000104381
NAV1,,1.7481777363386494e-83,2.1799536895740716e-81,19.357916,ENSG00000134369
TIAM2,,7.019864794035725e-83,8.664654809506062e-81,19.28616,ENSG00000146426
SLC25A48,,1.963177480367402e-82,2.414973595106008e-80,19.232904,ENSG00000145832
ANAPC16,,2.722956996887976e-82,3.32712450237198e-80,19.215933,ENSG00000166295
SOX2-OT,,3.326730245733809e-82,4.051267615640785e-80,19.205536,ENSG00000242808
FBXO32,,3.694747205383174e-82,4.484437841413737e-80,19.200087,ENSG00000156804
FMNL2,,9.180885224390119e-82,1.110612600632867e-79,19.15275,ENSG00000157827
METTL7A,,1.1394328068207836e-81,1.3738088530449792e-79,19.141499,ENSG00000185432
SGMS1,,2.0146689294954527e-81,2.421060233029321e-79,19.111782,ENSG00000198964
TMEFF2,,7.742579670758638e-81,9.273776676699458e-79,19.041403,ENSG00000144339
GOLM2,,9.213596730634078e-81,1.0999524070683543e-78,19.032291,ENSG00000166734
OLMALINC,,1.007773747379208e-80,1.199184891816069e-78,19.027592,ENSG00000235823
BACH2,,2.0247618872234102e-80,2.401486313927649e-78,18.99099,ENSG00000112182
TNS1,,4.666395977888213e-80,5.516649686586546e-78,18.947096,ENSG00000079308
CHST3,,2.8665646995976625e-79,3.3454280077484005e-77,18.851309,ENSG00000122863
LIMCH1,,4.4739851519017736e-79,5.204688413771482e-77,18.827747,ENSG00000064042
GXYLT2,,9.199246978043134e-79,1.0633745427444654e-76,18.789528,ENSG00000172986
TRIM2,,1.6654332045008787e-78,1.919042843110316e-76,18.758001,ENSG00000109654
ABCA8,,1.9920219202856768e-78,2.2881230965754595e-76,18.74848,ENSG00000141338
TMEM98,,2.9713807243739427e-78,3.402324369053585e-76,18.7272,ENSG00000006042
MSI2,,4.0043464204851445e-78,4.5707292119970245e-76,18.711308,ENSG00000153944
ARHGAP35,,9.387434117929365e-78,1.0648450190094831e-75,18.665848,ENSG00000160007
BBS9,,1.0463772542925918e-77,1.183251198239188e-75,18.660048,ENSG00000122507
SEPTIN8,,7.33301794712982e-77,8.24104473737318e-75,18.555712,ENSG00000164402
NOL4L,,2.7530957937057193e-76,3.075022209828609e-74,18.484486,ENSG00000197183
YPEL2,,7.341310951438401e-76,8.149750437919971e-74,18.431505,ENSG00000175155
MBNL1,,1.1083288121759978e-75,1.2266403862903475e-73,18.409206,ENSG00000152601
DENND11,,1.1001990067476275e-74,1.2139529161725638e-72,18.284473,ENSG00000257093
ENSG00000262039,,1.3730454082427238e-74,1.5104329125357723e-72,18.27239,ENSG00000262039
EHBP1,,1.5100269004849673e-74,1.6561174548330913e-72,18.2672,ENSG00000115504
LHFPL2,,1.9250836315858598e-74,2.0986869818354588e-72,18.25394,ENSG00000145685
LCORL,,3.822851542774154e-74,4.1551543395669406e-72,18.216433,ENSG00000178177
PLD1,,4.627219369176487e-74,4.99959381811437e-72,18.205976,ENSG00000075651
BBS2,,8.41651964399265e-74,9.06693234547516e-72,18.173187,ENSG00000125124
ITPKB,,3.248889957819957e-73,3.479370033651185e-71,18.098934,ENSG00000143772
USP32,,6.223178947343837e-73,6.625683971657421e-71,18.063097,ENSG00000170832
SLC24A2,,1.17180012042894e-72,1.2403368018912371e-70,18.028133,ENSG00000155886
SGCD,,5.408710818321545e-72,5.691964691234801e-70,17.943357,ENSG00000170624
SHROOM4,,6.361785852228234e-72,6.675658399173903e-70,17.934338,ENSG00000158352
MBNL2,,1.089013012460146e-71,1.136193175063004e-69,17.904432,ENSG00000139793
NDRG1,,1.4106324531757995e-71,1.467541396715349e-69,17.890018,ENSG00000104419
FOXP1,,1.5603112078888474e-71,1.6186339516139234e-69,17.884398,ENSG00000114861
CTNND2,,3.2836283565334743e-71,3.396689651082297e-69,17.842875,ENSG00000169862
NACC2,,6.350651188180167e-71,6.513800311662429e-69,17.805984,ENSG00000148411
RBM48,,7.622166691337349e-71,7.79602060575774e-69,17.795763,ENSG00000127993
FGF1,,8.783008861584155e-71,8.908270714986136e-69,17.78782,ENSG00000113578
RAPGEF5,,1.2492637450667989e-70,1.2635608745936744e-68,17.768064,ENSG00000136237
PRRG1,,1.5268039121231e-70,1.5399995581226126e-68,17.756805,ENSG00000130962
NSMCE2,,7.112327756921648e-70,7.095180226987152e-68,17.670218,ENSG00000156831
ZBTB37,,1.355570771808539e-69,1.348607730685588e-67,17.633795,ENSG00000185278
ST6GALNAC3,,4.6143566152833524e-69,4.5657052466222134e-67,17.564413,ENSG00000184005
ECE1,,5.16277101783667e-69,5.094493720907015e-67,17.558039,ENSG00000117298
NT5DC1,,5.583449488370668e-69,5.494717912717642e-67,17.553593,ENSG00000178425
CREBBP,,1.0822684116906704e-68,1.0621983128431453e-66,17.515968,ENSG00000005339
PRKD1,,1.9800753764357548e-68,1.9381318442682445e-66,17.48156,ENSG00000184304
SPOCK1,5.685522,9.640887938812089e-68,9.336276905000686e-66,17.391075,ENSG00000152377
ENSG00000240963,,1.237674398560764e-67,1.1953899257399082e-65,17.376753,ENSG00000240963
ENSG00000235189,,1.2418145802249977e-67,1.196215674474937e-65,17.37656,ENSG00000235189
GRID1,,3.181977746359909e-67,3.049004571064658e-65,17.322506,ENSG00000182771
KANSL1L,,5.256987862627421e-67,5.010927802460462e-65,17.293594,ENSG00000144445
TBC1D5,,9.178424755494782e-67,8.725973947704334e-65,17.261446,ENSG00000131374
SYNJ2,,2.0620548000249867e-66,1.950221802039216e-64,17.214645,ENSG00000078269
PPP1R9A,,2.5603721343723517e-66,2.4089992288570046e-64,17.20211,ENSG00000158528
NCOA7,,5.365724290329356e-66,5.0096603297300637e-64,17.15919,ENSG00000111912
RAB30,,6.661838581215328e-66,6.203858476194693e-64,17.146618,ENSG00000137502
INSR,,7.677793881200206e-66,7.131730377608723e-64,17.138367,ENSG00000171105
AKIRIN1,,2.511982890077854e-65,2.3273873026339648e-63,17.0693,ENSG00000174574
MLLT3,,3.280257861236324e-65,3.0314910975466246e-63,17.05371,ENSG00000171843
TRMT11,,1.067720367756303e-64,9.81763485624811e-63,16.984604,ENSG00000066651
ST3GAL6,,1.4223972892673069e-64,1.3013148265527934e-62,16.967766,ENSG00000064225
VEZF1,,2.4586496653381108e-64,2.2437180855712104e-62,16.935595,ENSG00000136451
HIVEP3,,3.748995805639307e-64,3.395732220769613e-62,16.910751,ENSG00000127124
NXPE3,,5.596570267830411e-64,5.056633166060569e-62,16.887123,ENSG00000144815
KHDRBS3,,5.973705744175559e-64,5.384024097943575e-62,16.883274,ENSG00000131773
ARHGAP23,,8.656938890735256e-64,7.783122441714867e-62,16.861362,ENSG00000275832
ERCC6L2,,1.2271743981308145e-63,1.1005880341068773e-61,16.840729,ENSG00000182150
MACF1,,1.771041773167902e-63,1.5844514261569936e-61,16.819006,ENSG00000127603
BAHCC1,,1.7469711593183065e-62,1.5552741773373636e-60,16.682844,ENSG00000266074
GRM3,,3.2013342637371715e-62,2.843097151492632e-60,16.64663,ENSG00000198822
GIT1,,4.0958828951019785e-62,3.6198856304964377e-60,16.631872,ENSG00000108262
SGK3,,4.301220298850581e-62,3.792155775344972e-60,16.628942,ENSG00000104205
PCBP1-AS1,,5.343790726318891e-62,4.699954297746943e-60,16.615932,ENSG00000179818
PHF21A,,6.669770045041063e-62,5.837972761539307e-60,16.602634,ENSG00000135365
SOBP,,7.135977922614436e-62,6.231060626336615e-60,16.59858,ENSG00000112320
PAPOLA,,1.2371784571009622e-61,1.077706745932063e-59,16.565514,ENSG00000090060
ATG4C,,1.577052387200584e-61,1.3704923991109228e-59,16.550909,ENSG00000125703
EML2,,3.7938812607938704e-61,3.265787339669655e-59,16.497978,ENSG00000125746
KAZN,,7.444654911976637e-61,6.348355378334737e-59,16.457216,ENSG00000189337
LINC02199,,1.1681223867452226e-60,9.937773912655851e-59,16.42992,ENSG00000250198
MICAL3,,1.563051936997341e-60,1.326663103262172e-58,16.412249,ENSG00000243156
ZDHHC2,,1.8870167286359403e-60,1.597908212164927e-58,16.40081,ENSG00000104219
RNF144A,,2.0833305621997514e-60,1.7600517965386856e-58,16.394798,ENSG00000151692
FAM53B,,5.663677500478287e-60,4.762721135044235e-58,16.333908,ENSG00000189319
HIPK2,,1.0503285806614367e-59,8.791853857251547e-58,16.296194,ENSG00000064393
PREX2,,1.0658179308289203e-59,8.901046444344643e-58,16.2953,ENSG00000046889
CEP97,,1.49052724972866e-59,1.2419468699569786e-57,16.27478,ENSG00000182504
PIP4K2A,,2.1179511170558292e-59,1.7607040199597457e-57,16.25326,ENSG00000150867
SPATA6,,2.5567086977934736e-59,2.1206122347165367e-57,16.241716,ENSG00000132122
HDAC2-AS2,,2.7708899361558906e-59,2.293037371711552e-57,16.23678,ENSG00000228624
APC,,2.8700463676480493e-59,2.3697081255963894e-57,16.234623,ENSG00000134982
TCF4,,2.94048631503871e-59,2.4223752874024775e-57,16.233135,ENSG00000196628
CNTNAP2,,6.036436731424698e-59,4.961596710262666e-57,16.188934,ENSG00000174469
MT-CO1,,6.05686473247295e-59,4.967174744117231e-57,16.188726,ENSG00000198804
STK39,,1.9526773654801984e-58,1.5941903191001116e-56,16.116531,ENSG00000198648
PACRG-AS3,,3.1682633724337956e-58,2.5693275259924136e-56,16.086588,ENSG00000225683
RAB3IP,,3.7483194600993685e-58,3.0329735151364047e-56,16.076172,ENSG00000127328
PKNOX1,,4.834860486768191e-58,3.903479823596527e-56,16.060392,ENSG00000160199
KLF15,,5.5784307698015555e-58,4.483925412583096e-56,16.051516,ENSG00000163884
PLCG2,3.8477147,6.921974424920061e-58,5.551606448462319e-56,16.038118,ENSG00000197943
CLCN4,,7.198288994050309e-58,5.760529645084832e-56,16.035686,ENSG00000073464
EPCAM-DT,,1.5081343204259477e-57,1.2042584841085439e-55,15.9896755,ENSG00000234690
NBDY,,2.497912541647373e-57,1.9902405134893685e-55,15.958211,ENSG00000204272
MPDZ,,3.426451808584753e-57,2.7241040011831445e-55,15.938469,ENSG00000107186
SLC5A3,,3.4906296709960464e-57,2.7690807751701098e-55,15.937309,ENSG00000198743
KIF1B,,4.3445798956389946e-57,3.439018329565371e-55,15.923625,ENSG00000054523
PI16,,5.905625533467375e-57,4.664547438711802e-55,15.904411,ENSG00000164530
KIRREL3,,6.981660802489246e-57,5.490631385318325e-55,15.893925,ENSG00000149571
DENND2A,,7.295391225683713e-57,5.724995373051624e-55,15.89117,ENSG00000146966
NFIA,,1.2730169854857226e-56,9.904507366561139e-55,15.856235,ENSG00000162599
IP6K3,,1.3259109504585606e-56,1.0294044675500449e-54,15.853677,ENSG00000161896
SRPK2,,2.6759612192934495e-56,2.0599809707592618e-54,15.809497,ENSG00000135250
PDK4,,3.7471666696141507e-56,2.8664250582771105e-54,15.78827,ENSG00000004799
KIAA1755,,6.925522252993242e-56,5.286627175597274e-54,15.749474,ENSG00000149633
ENSG00000285999,,1.215175790939869e-55,9.237365532296975e-54,15.713876,ENSG00000285999
KLHL24,,2.521555908547037e-55,1.9088335497300354e-53,15.667539,ENSG00000114796
CNKSR3,,2.5718131108556598e-55,1.9428393981841552e-53,15.666285,ENSG00000153721
ELF1,,2.7165290356709192e-55,2.047914187305373e-53,15.662804,ENSG00000120690
DSCAML1,,4.100585650480538e-55,3.084928196390441e-53,15.636598,ENSG00000177103
KIF6,,4.9614328776739104e-55,3.717195348597992e-53,15.624455,ENSG00000164627
ZNF397,,9.063428046763762e-55,6.762654549974633e-53,15.5859995,ENSG00000186812
ENSG00000286314,,1.9666674844157192e-54,1.4584581760192498e-52,15.53642,ENSG00000286314
FAM171B,,4.5988447841839744e-54,3.4035190301159936e-52,15.4818735,ENSG00000144369
INPP5A,,4.8850478972535236e-54,3.600695628234722e-52,15.477989,ENSG00000068383
FCHO1,,8.397344841877233e-54,6.164599201258746e-52,15.443094,ENSG00000130475
EYA4,,1.6781148169358414e-53,1.2220703342853572e-51,15.398384,ENSG00000112319
ARHGAP12,,1.8734563750054133e-53,1.3588903092967553e-51,15.391261,ENSG00000165322
