gene_symbol,logfc,pval,pval_adj,scores
ENSG00000286068,0.7666398,7.1572396588940615e-59,2.347832526663519e-56,16.178452
ARHGAP21,0.19266123,3.617519771119007e-58,1.1760815170177257e-55,16.078373
MT-CO3,0.5534713,9.381694719126301e-57,2.9965462115160253e-54,15.875396
SEC31A,0.494127,1.0159415756147694e-55,3.1890055733866364e-53,15.725222
CEROX1,0.3780942,2.7091098409684134e-55,8.359670129605244e-53,15.662977
DPYD-AS1,0.51139414,4.300717223240388e-55,1.3159471893498236e-52,15.633562
SVIP,0.4737654,7.858510064356204e-55,2.3648270120937032e-52,15.595112
HSPA12A,0.41684788,3.6681747207853544e-54,1.0858990075872872e-51,15.496411
MCF2L,0.5226809,7.452703594943566e-54,2.1884503491861702e-51,15.450788
LINC01470,0.59599334,4.518321148762739e-53,1.3057230926091178e-50,15.334196
FKBP5,0.3783747,4.825552986415263e-53,1.3835278373334844e-50,15.329924
SFRP1,1.1479042,1.723855789690453e-52,4.90383101673506e-50,15.246995
PSAP,0.33791146,3.0872849711974236e-52,8.714280648933379e-50,15.208891
NEDD4,1.9208589,5.848515571307041e-52,1.6256194578811602e-49,15.167006
JAKMIP3,0.3779642,3.5646610431741865e-51,9.759130669478081e-49,15.047882
FGFR1OP2,0.4284218,1.1770827467405283e-50,3.174810146245638e-48,14.968637
ENO4,0.43632814,2.7650096492743827e-50,7.348870901414513e-48,14.911729
XPO1,0.3675756,6.536571618910947e-50,1.724707578172358e-47,14.854177
LANCL1-AS1,0.48837993,7.747485811126667e-50,2.0150103811053157e-47,14.842782
PLCXD1,1.8462454,8.073614859183503e-50,2.084939462784324e-47,14.840016
HPN-AS1,0.37352487,9.350230192565846e-50,2.3976097307866733e-47,14.830166
CCDC122,0.4881083,1.1868299491549712e-49,3.0220176299741824e-47,14.814149
PDXDC1,0.44788948,1.304876184073218e-49,3.2995244176718064e-47,14.8077755
ENSG00000226471,0.81253684,1.8456849143042926e-49,4.634833041355028e-47,14.784447
ANK2-AS1,0.45630008,2.787505420547535e-49,6.951962148834029e-47,14.7566595
ELP2,0.39524406,3.1080701602891898e-49,7.698710930370747e-47,14.749314
FXR1,0.33623207,8.55487336390178e-49,2.1047300603134565e-46,14.68082
SON,0.33716896,1.3765472274223424e-48,3.3415225096601554e-46,14.648534
NAV2,0.4124295,2.644257661086448e-48,6.376338407647665e-46,14.604107
CARS1,0.7032111,1.0455525675608597e-47,2.4882784372566025e-45,14.510108
ACTN2,0.6302834,1.1781817585153182e-47,2.785711311107777e-45,14.501914
GOLGA3,0.6566405,5.398555958596264e-47,1.2600783305410717e-44,14.397068
TUBE1,0.56421643,6.516180688528928e-47,1.492246359941606e-44,14.384055
CHORDC1,0.47270432,1.1195420414960467e-46,2.5477978009346284e-44,14.3465605
SLC22A23,0.2975081,3.535892709078975e-46,7.947464526110101e-44,14.2665615
HSPA5,0.84852487,7.917923866486868e-46,1.7687573240890789e-43,14.210217
MATN2,0.44982785,1.2849981997342031e-45,2.835718451437685e-43,14.176269
APPL2,0.38518864,3.32291090122159e-45,7.245139624867099e-43,14.109422
ENSG00000225885,0.47851247,2.4300985967094677e-44,5.2357840297861024e-42,13.968405
MT-ND2,0.6219052,3.395760947661648e-44,7.27332044860329e-42,13.944551
PDIA3,0.58023167,3.6393922611917187e-44,7.749564386813617e-42,13.939607
MAPK1IP1L,0.60333174,5.312720093378866e-44,1.1117630117247773e-41,13.9125805
BOD1L1,0.397443,1.4849604647483128e-43,3.0897360252808896e-41,13.838883
XRRA1,0.35099524,2.5592702389849273e-43,5.294781133063589e-41,13.799697
PCDH9-AS2,0.3609662,6.610523641265304e-43,1.344706071652247e-40,13.731118
B3GAT1,0.33530354,8.439758764701845e-43,1.7072694230017978e-40,13.713408
SELENOP,0.2917595,1.5062858117866844e-42,2.9970972119550137e-40,13.671325
PDS5A,0.3102129,1.2903749176698169e-41,2.4992091224570942e-39,13.51415
ELF2,0.26194307,1.5515871984667027e-41,2.989227146590983e-39,13.500576
ITPRID2,0.4557617,1.621292888257532e-41,3.1070798235385926e-39,13.497338
SEMA4B,0.6917625,7.515232879791507e-41,1.425232602182127e-38,13.383849
DOCK1,0.23434728,8.985293502348114e-41,1.6951943368264224e-38,13.370567
GALNT15,0.55873424,1.00091675854499e-40,1.8786278872237205e-38,13.362538
RPS28,0.43270177,1.1982367975408572e-40,2.2260305240845763e-38,13.34914
CLIP4,0.2854261,1.4702168211400653e-40,2.699717206104971e-38,13.333893
SLC25A29,0.41487005,1.7803297244299964e-40,3.2412682962972514e-38,13.319611
SQSTM1,0.38680476,2.9724123676964188e-40,5.384650703112538e-38,13.281287
PTGES3,0.39122036,3.53183858994937e-40,6.366401323625567e-38,13.268369
RASA1,0.27357966,6.2042949187140825e-40,1.1074058165696919e-37,13.226076
JPX,0.27047244,6.4331799710522795e-40,1.1426582883217347e-37,13.223352
KIAA0586,0.47724384,1.1161574697150154e-39,1.9728896013234534e-37,13.181852
NUTM2A-AS1,0.25835732,1.672231696796278e-39,2.913363662380195e-37,13.151322
C9orf72,0.5359952,3.9025282195429504e-39,6.766612263333234e-37,13.087094
DAZAP1,0.413252,4.491665888612257e-39,7.75121034768481e-37,13.076408
TXNL1,0.4275576,5.933054430393933e-39,1.0190300845259618e-36,13.05523
SPATS2L,0.35337412,9.55754740286489e-39,1.6186484466656574e-36,13.018869
SLC23A2,0.368682,1.1441012460823997e-38,1.9197702567904306e-36,13.005126
ENSG00000286020,0.84661233,2.007873942729765e-38,3.3537021102145045e-36,12.962058
PCGF5,0.27435148,2.6517490436735366e-38,4.408926309508713e-36,12.940708
ENSG00000285692,0.43586177,3.748935679120744e-38,6.176753210323281e-36,12.914081
PDE7A,0.3243666,1.0258856703849157e-37,1.6750918847558542e-35,12.836358
PGM3,0.65726346,4.453709192723565e-37,7.175595536524356e-35,12.722161
UBE2D3,0.27389333,8.018726254396449e-37,1.28060465076791e-34,12.676137
ZNF506,0.3445526,2.250740261551272e-36,3.5632154088523874e-34,12.59496
TRIQK,0.5607556,2.7958728667894297e-36,4.407070252187737e-34,12.577835
YARS1,0.6596891,3.1639936952468765e-36,4.965833553074537e-34,12.568058
PACS2,0.28297716,5.8288143512108765e-36,9.031437793884699e-34,12.519654
PLIN3,0.65589225,6.780806067627083e-36,1.0461979259933785e-33,12.507641
PSD3,0.23091654,1.2123581743219646e-35,1.8626323140679904e-33,12.461392
PRNP,0.3211599,2.0021737312817328e-35,3.0631575589676662e-33,12.421325
BEST1,0.4313566,2.055861599569933e-35,3.132135253704619e-33,12.419209
GSTK1,0.4329255,3.799824682425791e-35,5.71732298911107e-33,12.369966
IARS1,0.4669177,7.266897458386643e-35,1.0844355338310428e-32,12.317778
GPBP1,0.2557887,7.591724762666567e-35,1.1282852328906737e-32,12.31425
FAM114A1,0.49666756,8.191468678907919e-35,1.2124705590910371e-32,12.308114
NEAT1,0.24652809,2.0446615578277085e-34,3.0020248646621987e-32,12.234056
LINC00486,0.26691362,2.4739293767206397e-34,3.617699456431804e-32,12.218572
EPM2A-DT,0.5057908,8.5275369126595e-34,1.2370704145966442e-31,12.117545
UACA,0.4235736,9.649699543063539e-34,1.3943049990556729e-31,12.107407
CDK13,0.24938306,1.1743145007402694e-33,1.6900845692076951e-31,12.091288
SLC7A14-AS1,0.26806805,1.3018127788909453e-33,1.8662049962589408e-31,12.082817
ARHGEF3,0.47870067,2.0836602342326673e-33,2.96368111128437e-31,12.044088
COPB2,0.48911276,3.1191037868046264e-33,4.385050466607338e-31,12.010775
B2M,0.38481033,3.289929709727239e-33,4.607420022714932e-31,12.006365
SYNM,0.96325165,5.051728070007864e-33,7.020745133020089e-31,11.970836
KIF1A,0.34171495,5.112354580226485e-33,7.077986881186569e-31,11.969846
ABCD4,0.58285946,5.293582573703658e-33,7.301133661882485e-31,11.966955
CNOT2,0.25034463,5.493532031348724e-33,7.548320314168669e-31,11.963878
ATP2A2,0.34119216,7.629672641635173e-33,1.0444046625083456e-30,11.93658
RALGDS,0.28095862,7.998752106532446e-33,1.09082607379423e-30,11.932649
FUT9,0.32708067,9.324784864914884e-33,1.2575335796343731e-30,11.919875
OGA,0.29089624,1.3128890038949634e-32,1.7640189819123028e-30,11.891336
GOLGA7,0.3977942,1.7700805571942888e-32,2.3695651929617074e-30,11.866358
DNAH17,0.55494034,5.17939873329027e-32,6.857900606420556e-30,11.776169
FANCL,0.27604738,5.777577250123954e-32,7.62221531998237e-30,11.76695
PRKX,0.5877916,7.038134066968616e-32,9.251716160522066e-30,11.750285
MFAP3L,0.32257074,8.281991812310225e-32,1.0847621793879134e-29,11.736525
NPHP3,0.30189258,1.1561184928775071e-31,1.498099165930811e-29,11.708272
MORF4L2,0.39910537,1.7665408476065692e-31,2.280967565356397e-29,11.672266
IRS2,0.48886463,1.975893828877757e-31,2.5422701801094304e-29,11.662736
LAMA2,0.4229661,2.152412382432734e-31,2.75963519961763e-29,11.65545
ATG4B,0.40956557,2.2298220672920228e-31,2.8488519689206013e-29,11.65244
KNOP1,0.28638464,2.3892452394617692e-31,3.041860058016851e-29,11.646555
PCSK6,0.21777867,2.9825087554580823e-31,3.757754629887187e-29,11.627634
SAFB2,0.45314115,3.0702371752088425e-31,3.854947449093254e-29,11.625158
ATP2B4,0.4136167,3.821724052804845e-31,4.765637541463356e-29,11.606446
ZBTB20-AS5,0.5183668,4.444308974300575e-31,5.523077760144455e-29,11.59353
LAMP2,0.18694197,4.720577205010485e-31,5.846450924790537e-29,11.588365
PTPRK-AS1,0.68627495,7.198457482984579e-31,8.825260399677928e-29,11.552164
C1orf52,0.38317376,7.441297290737053e-31,9.092366340614684e-29,11.549313
FTL,0.2830354,7.721769230705066e-31,9.403513753459293e-29,11.546132
SLC25A13,0.2345051,7.862231454664915e-31,9.542652390908629e-29,11.544582
PSIP1,0.323965,9.224697864743726e-31,1.1159126201031514e-28,11.530833
SGK3,0.20156077,9.780640073153398e-31,1.1792472395485478e-28,11.525794
FAM66D,0.76065654,1.2887646493864182e-30,1.5487293205761802e-28,11.502011
ZBTB16,0.2640158,1.5294484330806777e-30,1.8319169850438698e-28,11.487226
ADAM12,0.4305937,1.858144666469134e-30,2.218320117884397e-28,11.470392
PRPF4B,0.29047456,1.888315168834769e-30,2.2469716316212943e-28,11.468999
SYNDIG1,0.26744294,1.9368589268903027e-30,2.297228249053085e-28,11.466802
TXNIP,0.3417788,2.080844307516374e-30,2.4599903547170847e-28,11.460593
SLC7A11,1.6498235,3.7074495173817394e-30,4.34069620022199e-28,11.410464
GOLGA4,0.26151037,4.941899697717486e-30,5.749024018954923e-28,11.385439
RAB1A,0.30435076,5.536112530272609e-30,6.413609963710463e-28,11.375537
AARS1,0.514101,5.548410245437757e-30,6.413609963710463e-28,11.375343
NCOA7,0.20909034,5.7196852400109894e-30,6.590670220230384e-28,11.37269
MAGI2-AS3,0.26615247,8.43322998341518e-30,9.686775083789071e-28,11.338758
ZNF680,0.4183404,1.025065165290571e-29,1.1700524388263407e-27,11.321665
LINC00960,0.7078254,1.0664175360018701e-29,1.2134498537781279e-27,11.318198
MT-ND5,0.70354235,1.0796534455428943e-29,1.2246835283211175e-27,11.317116
BOK,0.355798,1.2119657940162725e-29,1.3620400769049541e-27,11.306974
KIZ-AS1,0.6352926,1.3060551157736668e-29,1.4632639654015615e-27,11.300411
COL10A1,0.6652781,1.389093100814162e-29,1.551523251130223e-27,11.294996
ENSG00000285664,0.40781856,2.073281173104103e-29,2.308633457953107e-27,11.259758
EPRS1,0.43723008,3.1309721720361946e-29,3.475760936834815e-27,11.223372
SEL1L,0.36492926,3.926554356972013e-29,4.319447046708911e-27,11.203338
CD55,0.3160514,4.088304694747061e-29,4.483835859793072e-27,11.199762
ZNF100,0.5716001,5.707913961961392e-29,6.2413382337218685e-27,11.170158
MICALL2,0.7578911,7.602853889694855e-29,8.288476521903265e-27,11.144667
KIZ,0.25745434,9.835213062748339e-29,1.0658326727404539e-26,11.121725
IDS,0.27992874,2.0631568296644255e-28,2.216037359343394e-26,11.055443
LUC7L,0.31480187,2.333004430164687e-28,2.4985105091516645e-26,11.044408
SCAF11,0.268202,2.3806992429329005e-28,2.5421120479082925e-26,11.04259
BBS9,0.24038805,2.4155713932648253e-28,2.5718065956596145e-26,11.041284
JAM3,0.19247822,3.2255899089291015e-28,3.394513866009435e-26,11.015272
OIP5-AS1,0.33028942,3.844500192227717e-28,4.0341769740459835e-26,10.9994545
GTF2H2,0.575196,7.530187297458056e-28,7.87899942169663e-26,10.9386635
SPART,0.2650154,7.671775258373118e-28,8.004145579022407e-26,10.936975
SAMD4B,0.25567752,8.364119137596428e-28,8.701551601090318e-26,10.929135
HNRNPU,0.23094068,9.290718027436466e-28,9.637995008974833e-26,10.919597
AHCTF1,0.34322074,1.3005124381512522e-27,1.3452914459648693e-25,10.889007
UBQLN1,0.33770326,2.739022959599994e-27,2.817324971891384e-25,10.820957
LINC00513,0.40122044,3.677516307839512e-27,3.7719922197479526e-25,10.793922
SLC25A32,0.49661556,3.729801494819464e-27,3.814874495206919e-25,10.792625
ANLN,0.1992218,3.9757194971868584e-27,4.0550111577469993e-25,10.786757
WDPCP,0.21877259,4.6994254443484686e-27,4.779761991050739e-25,10.771373
GRB10,0.27299538,4.878601880982327e-27,4.948179712822521e-25,10.767927
TASOR2,0.32580566,7.590633365282464e-27,7.677503947129585e-25,10.727143
ENSG00000225450,0.5411193,8.490932725373596e-27,8.56431696388652e-25,10.716779
PSMG4,0.5043932,1.1523026578449293e-26,1.149524503491769e-24,10.688491
ENSG00000286145,0.46575546,1.4777474441851913e-26,1.4621668461323693e-24,10.665392
N4BP2L1,0.3708276,1.990025786665969e-26,1.9637078304629068e-24,10.63769
MON2,0.1932032,2.319932901852125e-26,2.2830647789794482e-24,10.623384
UBE2B,0.29603046,2.7086315147056794e-26,2.658401366939709e-24,10.608919
BCLAF1,0.29002154,7.14231730128959e-26,6.935094868654842e-24,10.517933
NUFIP2,0.2777942,7.429546485512044e-26,7.194804431661291e-24,10.514216
CCDC54-AS1,0.2920207,7.655382066082552e-26,7.393840100535754e-24,10.511394
ENSG00000286803,0.4891294,7.76911463741733e-26,7.483836036445499e-24,10.510003
LINC01138,0.5192468,9.14646175718777e-26,8.787360567354118e-24,10.494599
RNF169,0.30126747,9.232007489924428e-26,8.846206755871797e-24,10.49372
CYP27A1,0.27806184,9.429764113817006e-26,9.011983488511937e-24,10.491718
CHADL,0.32898572,1.0598930900969172e-25,1.0102834344662029e-23,10.480671
CPB1,0.58032155,1.134392237569406e-25,1.0762602698615798e-23,10.474245
ORC3,0.37107527,1.1350212666891317e-25,1.0762602698615798e-23,10.474193
KMT2E,0.2138042,1.2432631989748403e-25,1.1727901451054891e-23,10.4655695
CALU,0.55322826,1.677169805799e-25,1.573946055895701e-23,10.437181
CPOX,0.28513485,1.8400843747062657e-25,1.7223946594294228e-23,10.428375
TACC1,0.21524298,2.0059715453672632e-25,1.8690366552253338e-23,10.420169
ZDHHC21,0.28857583,2.0070123371226668e-25,1.8690366552253338e-23,10.420119
ETFDH,0.33271748,2.569705592443973e-25,2.3869418375528048e-23,10.396588
HACE1,0.31646982,3.0777969851497864e-25,2.8516219802359804e-23,10.379376
TBC1D2,0.33826166,3.222591786845839e-25,2.9706585352564725e-23,10.374986
PLEKHH2,0.9644106,3.2834763301030164e-25,3.019139902315935e-23,10.3731985
PDZD2,0.26634824,3.6183267662098433e-25,3.3186527509126654e-23,10.363917
U2SURP,0.24910066,3.997770379407292e-25,3.657457664697948e-23,10.354378
WASHC4,0.29354408,4.425945635373857e-25,4.028938311880821e-23,10.344636
CEP70,0.44394603,4.790547179813542e-25,4.34996019729104e-23,10.33705
PPA2,0.25205132,5.2972941068023425e-25,4.798136144698679e-23,10.327408
MINDY2,0.28328654,6.235898420598764e-25,5.634281223097821e-23,10.311745
DDB2,0.7247726,6.487859504297327e-25,5.84742426412065e-23,10.307938
C2CD5-AS1,0.5344449,6.5055013190866065e-25,5.848847260014358e-23,10.307676
CCNL1,0.34214073,7.147615888011956e-25,6.410319943701757e-23,10.298624
IL6ST,0.3365222,7.409557178068582e-25,6.628913905843568e-23,10.295161
ZNF160,0.341621,7.498934797263522e-25,6.69243171171469e-23,10.294007
MT-CYB,0.44492975,7.798877284060172e-25,6.943098280371613e-23,10.290232
ANKHD1,0.2367969,9.489558170540876e-25,8.386742526838214e-23,10.271321
PDIA6,0.5751572,9.604945145981728e-25,8.468166165992414e-23,10.270156
HERC4,0.22242655,9.850673394415747e-25,8.663833807668265e-23,10.267718
ASAP2,0.3815769,1.018472947678558e-24,8.936057101414856e-23,10.2645
LINC03076,0.53537124,1.5566140209602006e-24,1.3463047442090933e-22,10.223474
AGPAT5,0.46596295,1.6815127440199656e-24,1.4474525303842786e-22,10.215991
DNAJC3,0.39271,2.0152802690428734e-24,1.7265972977973907e-22,10.198418
DLEU1,0.27896652,2.4431300603287357e-24,2.088245346401172e-22,10.1797
CLU,0.24844852,3.5943848857843495e-24,3.050786537556637e-22,10.14206
LINC02649,1.0610152,4.075820516344104e-24,3.451366898630733e-22,10.129776
PEX5L-AS2,0.6647728,4.322256321962432e-24,3.651554459287612e-22,10.124034
ERO1B,0.4550708,4.570682985910356e-24,3.8524932611798118e-22,10.118565
NRDC,0.23147523,5.691673441092547e-24,4.775235330347047e-22,10.097071
INSYN2A,0.51939857,6.144007042749694e-24,5.142886998634526e-22,10.089567
MIRLET7BHG,0.23754342,8.463311479752386e-24,7.068029761484951e-22,10.05808
SLC9A9,0.20616466,9.20251891777747e-24,7.650276685710348e-22,10.04983
TANC1,0.24752188,1.0341657749877442e-23,8.577686605661445e-22,10.038323
ENSG00000253197,0.87161726,1.0669343871146866e-23,8.829367023549993e-22,10.035246
HSPD1,0.40197867,1.0722743859657243e-23,8.85343649473559e-22,10.034753
HULC,0.3851104,1.1565600208201463e-23,9.527751918122889e-22,10.027283
FAM193B,0.35475007,1.3398033471886053e-23,1.0987594476989076e-21,10.012747
GARS1,0.6460023,1.6799104302949627e-23,1.371499968338569e-21,9.990348
MAPRE2,0.20728971,1.764824942066951e-23,1.4376019192514949e-21,9.985459
BAALC-AS1,0.8041835,1.969155567050444e-23,1.5969018375821997e-21,9.974588
ARHGEF7,0.20887719,2.219404149405737e-23,1.791861283551257e-21,9.962705
ZNF451-AS1,0.44887865,2.5225898168335576e-23,2.0321358497907854e-21,9.94997
TMED7,0.42854527,2.5590660613308303e-23,2.056969391284287e-21,9.948542
FLCN,0.37901732,2.658219932855007e-23,2.1319626474695266e-21,9.944757
ABHD15-AS1,0.39957237,2.719630734477911e-23,2.176421852830982e-21,9.942483
SLC38A2,0.25918844,2.9114325080673026e-23,2.3248043965733908e-21,9.935694
PPP3CB-AS1,0.35238492,2.9530831151471034e-23,2.3477655543392212e-21,9.934278
SMYD3,0.28341845,4.3398387447932385e-23,3.427813630703067e-21,9.895833
CCDC88A,0.12642859,4.3852267697591635e-23,3.4561661718716595e-21,9.894792
UGGT2,0.233367,4.4906791843109525e-23,3.531633055272795e-21,9.892414
PGAP1,0.35141918,4.637067168259714e-23,3.638898485574843e-21,9.889202
GRM3-AS1,0.40899172,5.1372488470948e-23,4.022742043449803e-21,9.878942
SORT1,0.14795141,5.242889028946784e-23,4.096653976867174e-21,9.876902
SYTL2,0.35397574,5.415688810339716e-23,4.222613725098282e-21,9.873651
ENSG00000287134,0.72685105,5.531367952612705e-23,4.303593373729356e-21,9.8715315
TSIX,1.3496512,5.831160554772086e-23,4.5271688298584475e-21,9.866237
CREBRF,0.2729053,6.028315546879204e-23,4.670277142403523e-21,9.862899
CANX,0.2900189,6.94441088349109e-23,5.368575139908229e-21,9.848689
GRID2,0.25677633,7.074729084173157e-23,5.457733801121038e-21,9.84682
MT-ND1,0.4579708,9.292913973803677e-23,7.153775552095973e-21,9.819363
SRPRB,0.5163261,9.713041159164174e-23,7.461418875263415e-21,9.814904
ENSG00000240401,0.3291847,1.0801953640798315e-22,8.280436546710488e-21,9.804181
DCC,0.46215728,1.084653916236851e-22,8.297146722272314e-21,9.803765
MAX,0.3150377,1.1516652755971082e-22,8.791286376319057e-21,9.79771
MAN2A1,0.14054513,1.2280177935311132e-22,9.33498620001146e-21,9.791223
PDIA4,1.1616871,1.4583088648261868e-22,1.1062487997093984e-20,9.773831
ENSG00000254420,0.26702043,1.7737301891083726e-22,1.3399390797886735e-20,9.753981
SLIT2,0.39768556,1.84038776777126e-22,1.3874161366477665e-20,9.7502365
RBM39,0.2082753,1.8545932562802622e-22,1.395236562968531e-20,9.749456
TRA2B,0.30874845,1.9928081228611646e-22,1.4961263787550667e-20,9.742156
RHOQ,0.34847608,2.419106896158528e-22,1.8087170493413618e-20,9.722442
STK3,0.22965933,2.9108254784747184e-22,2.167463748920684e-20,9.703587
CKMT2-AS1,0.33574888,3.224797945543378e-22,2.391473376642067e-20,9.693133
KLHL28,0.32527137,3.421885606453413e-22,2.5273366876710277e-20,9.687075
AHI1,0.20098612,3.5342783794347514e-22,2.6050636508497603e-20,9.683773
SRP54,0.30637226,4.351800524780014e-22,3.1947129175058447e-20,9.662484
TNRC6A,0.18293603,4.432100719211037e-22,3.2471157220907904e-20,9.660611
ARRB1,0.40020666,5.135312356944709e-22,3.754758906447203e-20,9.6455145
TMEM39A,0.64165086,5.85808689000739e-22,4.2746424817424665e-20,9.631995
EEPD1,0.2737795,6.600471979343601e-22,4.806727714237184e-20,9.619729
KATNIP,0.23826478,7.459628399999292e-22,5.421556672670143e-20,9.607134
RAB11FIP2,0.3005854,7.823967497666415e-22,5.675025986554373e-20,9.6022215
AATF,0.39671195,8.583283930017916e-22,6.201082032932785e-20,9.592672
ENOSF1,0.21383098,9.501074360005046e-22,6.850556823693144e-20,9.582188
HNRNPK-AS1,0.6551461,9.58817279794287e-22,6.899694622899126e-20,9.581245
EIF1,0.25635588,1.0120688471525027e-21,7.268530742113792e-20,9.575662
AKAP9,0.21741548,1.5043776710680186e-21,1.0782952708450529e-19,9.534618
CC2D2A,0.4728458,1.7327981564914567e-21,1.2395804808284267e-19,9.519939
LURAP1L-AS1,0.2550997,1.8146863341809246e-21,1.2956148784352122e-19,9.51514
PKN2,0.2263109,2.400627464068293e-21,1.700615704701453e-19,9.486003
ENSG00000255580,0.51395035,2.592919024402306e-21,1.8332692721657623e-19,9.477964
NUS1,0.4551629,2.7621888577838056e-21,1.9453930500894377e-19,9.471362
GOLT1B,0.517128,3.0705224920824446e-21,2.1583757718476058e-19,9.460303
PRRC2C,0.22017512,3.1743838252848017e-21,2.2270840818163818e-19,9.456824
MATR3,0.37690896,4.834868243840589e-21,3.3790253837758835e-19,9.412714
SGCE,0.24276477,5.66027574639531e-21,3.9483134191139087e-19,9.396137
MYO6,0.15799339,7.11663424258446e-21,4.954701453938534e-19,9.372006
CALR,0.59823173,7.243150657750638e-21,5.033160338740768e-19,9.370147
DMTF1,0.21659614,8.14026205377814e-21,5.645775655279422e-19,9.357815
TPST1,0.37793082,9.994246764946317e-21,6.905322831218697e-19,9.336105
